Labels	quencher 0.0 mM	
Type	Time Scan	
Comment		
start(nm)	0.00	
stop(nm)	999.02340	
step(nm)	0.976563	
fixed/offset(nm)	 	
Xaxis	Time	
Yaxis	Counts	
800.78130	3.400E+1	
801.75780	2.800E+1	
802.73440	3.300E+1	
803.71090	4.100E+1	
804.68750	2.700E+1	
805.66410	3.000E+1	
806.64060	3.900E+1	
807.61720	3.400E+1	
808.59380	2.800E+1	
809.57030	3.900E+1	
810.54690	2.500E+1	
811.52340	2.900E+1	
812.50	3.000E+1	
813.47660	2.900E+1	
814.45310	2.700E+1	
815.42970	2.500E+1	
816.40630	1.800E+1	
817.38280	2.500E+1	
818.35940	2.900E+1	
819.33590	3.100E+1	
820.31250	2.200E+1	
821.28910	2.300E+1	
822.26560	3.400E+1	
823.24220	2.800E+1	
824.21880	2.700E+1	
825.19530	2.800E+1	
826.17190	3.400E+1	
827.14840	1.900E+1	
828.1250	2.300E+1	
829.10160	3.000E+1	
830.07810	1.800E+1	
831.05470	3.200E+1	
832.03130	2.100E+1	
833.00780	1.900E+1	
833.98440	2.600E+1	
834.96090	2.800E+1	
835.93750	2.500E+1	
836.91410	3.800E+1	
837.89060	2.100E+1	
838.86720	2.500E+1	
839.84380	2.900E+1	
840.82030	2.500E+1	
841.79690	2.400E+1	
842.77340	3.100E+1	
843.750	2.600E+1	
844.72660	2.900E+1	
845.70310	1.900E+1	
846.67970	3.200E+1	
847.65630	3.000E+1	
848.63280	2.000E+1	
849.60940	2.700E+1	
850.58590	3.300E+1	
851.56250	2.200E+1	
852.53910	2.700E+1	
853.51560	2.300E+1	
854.49220	2.700E+1	
855.46880	2.700E+1	
856.44530	3.600E+1	
857.42190	2.900E+1	
858.39840	3.100E+1	
859.3750	3.400E+1	
860.35160	2.000E+1	
861.32810	1.500E+1	
862.30470	1.600E+1	
863.28130	2.700E+1	
864.25780	2.500E+1	
865.23440	3.000E+1	
866.21090	2.200E+1	
867.18750	1.700E+1	
868.16410	2.500E+1	
869.14060	2.700E+1	
870.11720	2.200E+1	
871.09380	2.000E+1	
872.07030	2.300E+1	
873.04690	3.300E+1	
874.02340	2.200E+1	
875.0	2.500E+1	
875.97660	1.400E+1	
876.95310	3.000E+1	
877.92970	2.100E+1	
878.90630	1.900E+1	
879.88280	2.900E+1	
880.85940	3.100E+1	
881.83590	2.200E+1	
882.81250	2.500E+1	
883.78910	2.700E+1	
884.76560	3.000E+1	
885.74220	1.900E+1	
886.71880	1.500E+1	
887.69530	2.500E+1	
888.67190	1.700E+1	
889.64840	1.700E+1	
890.6250	2.800E+1	
891.60160	1.800E+1	
892.57810	2.500E+1	
893.55470	1.900E+1	
894.53130	2.300E+1	
895.50780	2.600E+1	
896.48440	3.000E+1	
897.46090	3.000E+1	
898.43750	3.000E+1	
899.41410	1.700E+1	
900.39060	2.800E+1	
901.36720	2.400E+1	
902.34380	1.400E+1	
903.32030	2.700E+1	
904.29690	1.900E+1	
905.27340	2.100E+1	
906.250	1.800E+1	
907.22660	2.000E+1	
908.20310	2.600E+1	
909.17970	1.900E+1	
910.15630	1.900E+1	
911.13280	2.000E+1	
912.10940	2.700E+1	
913.08590	1.000E+1	
914.06250	1.500E+1	
915.03910	1.900E+1	
916.01560	1.200E+1	
916.99220	1.900E+1	
917.96880	2.100E+1	
918.94530	1.400E+1	
