Data size:	256 x 256
Surface Size:	3.0000 x 3.0000
X Unit:	MicroMeter
Y Unit:	MicroMeter
Z Unit:	MilliVolt

X		Y		Z
0.4219	?m	0.0117	?m	0.610351562	mV
0.4336	?m	0.0117	?m	0.000000000	mV
0.4453	?m	0.0117	?m	-11.596679688	mV
0.4570	?m	0.0117	?m	-6.103515625	mV
0.4688	?m	0.0117	?m	-3.967285156	mV
0.4805	?m	0.0117	?m	1.525878906	mV
0.4922	?m	0.0117	?m	-5.187988281	mV
0.5039	?m	0.0117	?m	0.000000000	mV
0.5156	?m	0.0117	?m	-2.441406250	mV
0.5273	?m	0.0117	?m	-3.356933594	mV
0.5391	?m	0.0117	?m	-4.882812500	mV
0.5508	?m	0.0117	?m	-0.305175781	mV
0.5625	?m	0.0117	?m	-1.220703125	mV
0.5742	?m	0.0117	?m	-2.746582031	mV
0.5859	?m	0.0117	?m	0.610351562	mV
0.5977	?m	0.0117	?m	2.136230469	mV
0.6094	?m	0.0117	?m	-0.305175781	mV
0.6211	?m	0.0117	?m	-2.441406250	mV
0.6328	?m	0.0117	?m	-14.038085938	mV
0.6445	?m	0.0117	?m	-27.160644531	mV
0.6563	?m	0.0117	?m	-21.362304688	mV
0.6680	?m	0.0117	?m	-0.305175781	mV
0.6797	?m	0.0117	?m	6.713867188	mV
0.6914	?m	0.0117	?m	7.324218750	mV
0.7031	?m	0.0117	?m	8.239746094	mV
0.7148	?m	0.0117	?m	7.934570312	mV
0.7266	?m	0.0117	?m	5.493164062	mV
0.7383	?m	0.0117	?m	10.986328125	mV
0.7500	?m	0.0117	?m	8.850097656	mV
0.7617	?m	0.0117	?m	11.596679688	mV
0.7734	?m	0.0117	?m	12.512207031	mV
0.7852	?m	0.0117	?m	14.953613281	mV
0.7969	?m	0.0117	?m	17.089843750	mV
0.8086	?m	0.0117	?m	14.038085938	mV
0.8203	?m	0.0117	?m	15.258789062	mV
0.8320	?m	0.0117	?m	14.343261719	mV
0.8438	?m	0.0117	?m	16.784667969	mV
0.8555	?m	0.0117	?m	15.258789062	mV
0.8672	?m	0.0117	?m	18.005371094	mV
0.8789	?m	0.0117	?m	13.732910156	mV
0.8906	?m	0.0117	?m	10.070800781	mV
0.9023	?m	0.0117	?m	12.512207031	mV
0.9141	?m	0.0117	?m	8.850097656	mV
0.9258	?m	0.0117	?m	13.732910156	mV
0.9375	?m	0.0117	?m	14.343261719	mV
0.9492	?m	0.0117	?m	8.239746094	mV
0.9609	?m	0.0117	?m	-3.967285156	mV
0.9727	?m	0.0117	?m	2.746582031	mV
0.9844	?m	0.0117	?m	2.136230469	mV
0.9961	?m	0.0117	?m	-0.305175781	mV
1.0078	?m	0.0117	?m	-3.662109375	mV
1.0195	?m	0.0117	?m	-7.324218750	mV
1.0313	?m	0.0117	?m	-2.136230469	mV
1.0430	?m	0.0117	?m	-0.610351562	mV
1.0547	?m	0.0117	?m	-3.662109375	mV
1.0664	?m	0.0117	?m	-1.525878906	mV
1.0781	?m	0.0117	?m	-0.610351562	mV
1.0898	?m	0.0117	?m	-1.831054688	mV
1.1016	?m	0.0117	?m	-0.305175781	mV
1.1133	?m	0.0117	?m	-1.525878906	mV
1.1250	?m	0.0117	?m	0.610351562	mV
1.1367	?m	0.0117	?m	4.272460938	mV
1.1484	?m	0.0117	?m	2.441406250	mV
1.1602	?m	0.0117	?m	0.915527344	mV
1.1719	?m	0.0117	?m	-0.610351562	mV
1.1836	?m	0.0117	?m	0.000000000	mV
1.1953	?m	0.0117	?m	-1.831054688	mV
1.2070	?m	0.0117	?m	0.610351562	mV
1.2188	?m	0.0117	?m	0.915527344	mV
1.2305	?m	0.0117	?m	1.525878906	mV
1.2422	?m	0.0117	?m	1.220703125	mV
1.2539	?m	0.0117	?m	0.000000000	mV
1.2656	?m	0.0117	?m	-2.136230469	mV
1.2773	?m	0.0117	?m	-1.525878906	mV
1.2891	?m	0.0117	?m	-5.187988281	mV
1.3008	?m	0.0117	?m	-5.493164062	mV
1.3125	?m	0.0117	?m	-1.220703125	mV
1.3242	?m	0.0117	?m	-2.136230469	mV
1.3359	?m	0.0117	?m	0.610351562	mV
1.3477	?m	0.0117	?m	-3.662109375	mV
1.3594	?m	0.0117	?m	-3.967285156	mV
1.3711	?m	0.0117	?m	0.000000000	mV
1.3828	?m	0.0117	?m	1.831054688	mV
1.3945	?m	0.0117	?m	-1.525878906	mV
1.4063	?m	0.0117	?m	0.000000000	mV
1.4180	?m	0.0117	?m	-3.967285156	mV
1.4297	?m	0.0117	?m	0.305175781	mV
1.4414	?m	0.0117	?m	-2.136230469	mV
1.4531	?m	0.0117	?m	5.493164062	mV
1.4648	?m	0.0117	?m	13.122558594	mV
1.4766	?m	0.0117	?m	8.239746094	mV
1.4883	?m	0.0117	?m	0.305175781	mV
1.5000	?m	0.0117	?m	-5.187988281	mV
1.5117	?m	0.0117	?m	-9.155273438	mV
1.5234	?m	0.0117	?m	-14.648437500	mV
1.5352	?m	0.0117	?m	-14.038085938	mV
1.5469	?m	0.0117	?m	-13.122558594	mV
1.5586	?m	0.0117	?m	-15.869140625	mV
1.5703	?m	0.0117	?m	-14.648437500	mV
1.5820	?m	0.0117	?m	-14.343261719	mV
1.5938	?m	0.0117	?m	-10.986328125	mV
1.6055	?m	0.0117	?m	-13.122558594	mV
1.6172	?m	0.0117	?m	-11.901855469	mV
1.6289	?m	0.0117	?m	-9.765625000	mV
1.6406	?m	0.0117	?m	-7.629394531	mV
1.6523	?m	0.0117	?m	2.441406250	mV
1.6641	?m	0.0117	?m	1.831054688	mV
1.6758	?m	0.0117	?m	-0.305175781	mV
1.6875	?m	0.0117	?m	0.915527344	mV
1.6992	?m	0.0117	?m	3.356933594	mV
1.7109	?m	0.0117	?m	2.136230469	mV
1.7227	?m	0.0117	?m	6.103515625	mV
1.7344	?m	0.0117	?m	2.441406250	mV
1.7461	?m	0.0117	?m	8.544921875	mV
1.7578	?m	0.0117	?m	6.713867188	mV
1.7695	?m	0.0117	?m	7.324218750	mV
1.7813	?m	0.0117	?m	8.850097656	mV
1.7930	?m	0.0117	?m	5.798339844	mV
1.8047	?m	0.0117	?m	3.051757812	mV
1.8164	?m	0.0117	?m	2.441406250	mV
1.8281	?m	0.0117	?m	4.272460938	mV
1.8398	?m	0.0117	?m	2.441406250	mV
1.8516	?m	0.0117	?m	3.051757812	mV
1.8633	?m	0.0117	?m	1.831054688	mV
1.8750	?m	0.0117	?m	4.577636719	mV
1.8867	?m	0.0117	?m	2.746582031	mV
1.8984	?m	0.0117	?m	2.441406250	mV
1.9102	?m	0.0117	?m	-0.610351562	mV
1.9219	?m	0.0117	?m	-3.967285156	mV
1.9336	?m	0.0117	?m	-0.610351562	mV
1.9453	?m	0.0117	?m	0.000000000	mV
1.9570	?m	0.0117	?m	-5.187988281	mV
1.9688	?m	0.0117	?m	-0.915527344	mV
1.9805	?m	0.0117	?m	-0.915527344	mV
1.9922	?m	0.0117	?m	-2.746582031	mV
2.0039	?m	0.0117	?m	-1.831054688	mV
2.0156	?m	0.0117	?m	-2.136230469	mV
2.0273	?m	0.0117	?m	-3.967285156	mV
2.0391	?m	0.0117	?m	0.610351562	mV
2.0508	?m	0.0117	?m	-3.356933594	mV
2.0625	?m	0.0117	?m	1.525878906	mV
2.0742	?m	0.0117	?m	4.882812500	mV
2.0859	?m	0.0117	?m	-3.662109375	mV
2.0977	?m	0.0117	?m	-10.375976562	mV
2.1094	?m	0.0117	?m	3.051757812	mV
2.1211	?m	0.0117	?m	-2.441406250	mV
2.1328	?m	0.0117	?m	-1.220703125	mV
2.1445	?m	0.0117	?m	-0.305175781	mV
2.1562	?m	0.0117	?m	-4.272460938	mV
2.1680	?m	0.0117	?m	-4.882812500	mV
2.1797	?m	0.0117	?m	-3.967285156	mV
2.1914	?m	0.0117	?m	-2.136230469	mV
2.2031	?m	0.0117	?m	-2.441406250	mV
2.2148	?m	0.0117	?m	-1.831054688	mV
2.2266	?m	0.0117	?m	-2.746582031	mV
2.2383	?m	0.0117	?m	-5.187988281	mV
2.2500	?m	0.0117	?m	-2.136230469	mV
2.2617	?m	0.0117	?m	-4.272460938	mV
2.2734	?m	0.0117	?m	-3.051757812	mV
2.2852	?m	0.0117	?m	0.610351562	mV
2.2969	?m	0.0117	?m	0.610351562	mV
2.3086	?m	0.0117	?m	0.915527344	mV
2.3203	?m	0.0117	?m	0.000000000	mV
2.3320	?m	0.0117	?m	1.525878906	mV
2.3438	?m	0.0117	?m	-0.305175781	mV
2.3555	?m	0.0117	?m	-2.746582031	mV
2.3672	?m	0.0117	?m	6.408691406	mV
2.3789	?m	0.0117	?m	2.136230469	mV
2.3906	?m	0.0117	?m	5.493164062	mV
2.4023	?m	0.0117	?m	3.662109375	mV
2.4141	?m	0.0117	?m	9.155273438	mV
2.4258	?m	0.0117	?m	11.901855469	mV
2.4375	?m	0.0117	?m	8.544921875	mV
2.4492	?m	0.0117	?m	13.122558594	mV
2.4609	?m	0.0117	?m	7.019042969	mV
2.4727	?m	0.0117	?m	13.427734375	mV
2.4844	?m	0.0117	?m	15.258789062	mV
2.4961	?m	0.0117	?m	13.427734375	mV
2.5078	?m	0.0117	?m	10.986328125	mV
2.5195	?m	0.0117	?m	11.596679688	mV
2.5313	?m	0.0117	?m	12.512207031	mV
2.5430	?m	0.0117	?m	12.512207031	mV
2.5547	?m	0.0117	?m	10.986328125	mV
2.5664	?m	0.0117	?m	11.291503906	mV
2.5781	?m	0.0117	?m	11.901855469	mV
2.5898	?m	0.0117	?m	4.272460938	mV
2.6016	?m	0.0117	?m	9.155273438	mV
2.6133	?m	0.0117	?m	3.356933594	mV
2.6250	?m	0.0117	?m	8.850097656	mV
2.6367	?m	0.0117	?m	5.187988281	mV
2.6484	?m	0.0117	?m	2.441406250	mV
2.6602	?m	0.0117	?m	2.136230469	mV
2.6719	?m	0.0117	?m	-0.305175781	mV
2.6836	?m	0.0117	?m	-7.934570312	mV
2.6953	?m	0.0117	?m	-6.713867188	mV
2.7070	?m	0.0117	?m	-6.408691406	mV
2.7188	?m	0.0117	?m	-7.019042969	mV
2.7305	?m	0.0117	?m	-7.934570312	mV
2.7422	?m	0.0117	?m	-9.460449219	mV
2.7539	?m	0.0117	?m	-18.310546875	mV
2.7656	?m	0.0117	?m	-15.258789062	mV
2.7773	?m	0.0117	?m	-4.272460938	mV
2.7891	?m	0.0117	?m	-7.629394531	mV
2.8008	?m	0.0117	?m	-5.798339844	mV
2.8125	?m	0.0117	?m	-5.187988281	mV
2.8242	?m	0.0117	?m	-4.272460938	mV
2.8359	?m	0.0117	?m	-1.220703125	mV
2.8477	?m	0.0117	?m	-3.051757812	mV
2.8594	?m	0.0117	?m	-0.305175781	mV
2.8711	?m	0.0117	?m	0.610351562	mV
2.8828	?m	0.0117	?m	1.525878906	mV
2.8945	?m	0.0117	?m	3.662109375	mV
2.9062	?m	0.0117	?m	3.356933594	mV
2.9180	?m	0.0117	?m	2.136230469	mV
2.9297	?m	0.0117	?m	6.103515625	mV
2.9414	?m	0.0117	?m	4.882812500	mV
2.9531	?m	0.0117	?m	6.713867188	mV
2.9648	?m	0.0117	?m	10.681152344	mV
2.9766	?m	0.0117	?m	12.207031250	mV
2.9883	?m	0.0117	?m	9.460449219	mV
