unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,HAZ,DSP_D,W032,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,BE	4 	6 e	12 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,BG	8 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,CZ	0 	: c	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,DE	2 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,ES	2 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,EU28	1 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,FI	7 	8 	11 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,FR	1 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,HR	0 	0 	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,LV	3 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,NL	1 	1 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,NO	0 	0 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,SK	1 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,TR	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W033,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,BG	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,CZ	0 	0 	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,DE	: c	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,ES	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,NO	0 	0 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,TR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W05,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W061,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W062,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W063,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,BG	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,CZ	: c	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,DK	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,ES	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,IE	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,NO	7 	3 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,TR	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W06_07A,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,CZ	: c	: c	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,ES	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,TR	0 	: 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W071,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W072,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W073,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W074,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,BG	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,CZ	: c	: c	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,DK	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,FR	0 	0 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,IE	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,NO	7 	3 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,TR	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W075,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W076,IS	: b	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,BG	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,CZ	0 	: c	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,DE	: c	: c	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,DK	1 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,IT	0 	0 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,NO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,TR	: 	: 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,BE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,DE	: c	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,DK	1 	1 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,FR	2 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,IS	0 b	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,ME	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,NL	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,NO	7 	6 	8 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,SE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,TR	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W077_08,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,BG	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,DK	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,FR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,NO	0 	1 	3 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,TR	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W081,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,BG	: 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,DE	0 	: c	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,DK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,ES	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,EU28	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,FI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,FR	1 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,HR	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,HU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,IS	0 b	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,IT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,LV	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,ME	0 	: 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,MK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,NL	0 	0 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,NO	3 	2 	: 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,PL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,SE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,SK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,TR	: 	: c	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W0841,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,BE	0 	0 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,BG	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,DE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,DK	0 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W08A,ES	0 	0 	0 	: 	: 	: 
