unit,hazard,wst_oper,waste,geo\time	2014 	2012 	2010 	2008 	2006 	2004 
KG_HAB,HAZ,DSP_D,W02A,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,SE	2 	5 e	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,SK	2 	3 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,TR	: 	6 	8 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W02A,UK	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,AT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,BE	1 	15 e	14 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,BG	4 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,CY	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,CZ	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,DE	2 	2 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,DK	44 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,EE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,EL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,ES	0 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,EU28	1 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,FI	6 	1 	6 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,FR	2 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,HR	0 	0 	: c	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,HU	1 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,IE	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,IS	0 b	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,IT	1 	1 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,LT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,LU	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,LV	0 	0 	2 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,MK	1 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,MT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,NL	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,NO	17 	25 	36 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,PL	1 	1 	5 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,PT	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,RO	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,RS	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,SE	1 	1 e	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,SI	0 	0 	0 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,SK	1 	1 	1 	: 	: 	: 
KG_HAB,HAZ,DSP_D,W032,TR	0 	0 	0 	: 	: 	: 
